"country_name","country_code","anio","tasa.de.desempleo"
"Aruba","ABW",2000,NA
"Aruba","ABW",2010,NA
"Aruba","ABW",2023,NA
NA,"AFE",2000,7.78831690275509
NA,"AFE",2010,7.40306130661224
NA,"AFE",2023,7.80636542181197
"Afganistán","AFG",2000,7.935
"Afganistán","AFG",2010,7.753
"Afganistán","AFG",2023,13.991
NA,"AFW",2000,4.55111905984559
NA,"AFW",2010,3.9915945374515
NA,"AFW",2023,3.27724546605141
"Angola","AGO",2000,16.682
"Angola","AGO",2010,16.618
"Angola","AGO",2023,14.537
"Albania","ALB",2000,19.023
"Albania","ALB",2010,14.086
"Albania","ALB",2023,10.108
"Andorra","AND",2000,NA
"Andorra","AND",2010,NA
"Andorra","AND",2023,NA
"El mundo árabe","ARB",2000,12.6274870577085
"El mundo árabe","ARB",2010,9.57747395203384
"El mundo árabe","ARB",2023,9.58139714330624
"Emiratos Árabes Unidos","ARE",2000,2.25
"Emiratos Árabes Unidos","ARE",2010,2.811
"Emiratos Árabes Unidos","ARE",2023,2.151
"Argentina","ARG",2000,15
"Argentina","ARG",2010,7.714
"Argentina","ARG",2023,6.139
"Armenia","ARM",2000,11.095
"Armenia","ARM",2010,19.523
"Armenia","ARM",2023,13.245
"Samoa Americana","ASM",2000,NA
"Samoa Americana","ASM",2010,NA
"Samoa Americana","ASM",2023,NA
"Antigua y Barbuda","ATG",2000,NA
"Antigua y Barbuda","ATG",2010,NA
"Antigua y Barbuda","ATG",2023,NA
"Australia","AUS",2000,6.288
"Australia","AUS",2010,5.214
"Australia","AUS",2023,3.668
"Austria","AUT",2000,4.687
"Austria","AUT",2010,4.883
"Austria","AUT",2023,5.264
"Azerbaiyán","AZE",2000,11.78
"Azerbaiyán","AZE",2010,5.63
"Azerbaiyán","AZE",2023,5.636
"Burundi","BDI",2000,3.129
"Burundi","BDI",2010,1.616
"Burundi","BDI",2023,0.921
"Bélgica","BEL",2000,6.586
"Bélgica","BEL",2010,8.293
"Bélgica","BEL",2023,5.528
"Benin","BEN",2000,0.864
"Benin","BEN",2010,1.04
"Benin","BEN",2023,1.657
"Burkina Faso","BFA",2000,2.679
"Burkina Faso","BFA",2010,3.723
"Burkina Faso","BFA",2023,5.348
"Bangladesh","BGD",2000,3.27
"Bangladesh","BGD",2010,3.379
"Bangladesh","BGD",2023,4.454
"Bulgaria","BGR",2000,16.218
"Bulgaria","BGR",2010,10.279
"Bulgaria","BGR",2023,4.319
"Bahrein","BHR",2000,1.083
"Bahrein","BHR",2010,1.13
"Bahrein","BHR",2023,1.154
"Bahamas","BHS",2000,7.12
"Bahamas","BHS",2010,14.432
"Bahamas","BHS",2023,8.643
"Bosnia y Herzegovina","BIH",2000,25.187
"Bosnia y Herzegovina","BIH",2010,27.312
"Bosnia y Herzegovina","BIH",2023,10.668
"Belarús","BLR",2000,12.224
"Belarús","BLR",2010,6.045
"Belarús","BLR",2023,3.461
"Belice","BLZ",2000,10.836
"Belice","BLZ",2010,8.416
"Belice","BLZ",2023,8.267
"Bermudas","BMU",2000,NA
"Bermudas","BMU",2010,NA
"Bermudas","BMU",2023,NA
"Bolivia","BOL",2000,2.447
"Bolivia","BOL",2010,2.608
"Bolivia","BOL",2023,3.024
"Brasil","BRA",2000,10.889
"Brasil","BRA",2010,8.422
"Brasil","BRA",2023,7.947
"Barbados","BRB",2000,9.35
"Barbados","BRB",2010,10.69
"Barbados","BRB",2023,7.878
"Brunei Darussalam","BRN",2000,5.459
"Brunei Darussalam","BRN",2010,6.455
"Brunei Darussalam","BRN",2023,5.183
"Bhután","BTN",2000,1.66
"Bhután","BTN",2010,3.32
"Bhután","BTN",2023,3.126
"Botswana","BWA",2000,15.88
"Botswana","BWA",2010,17.86
"Botswana","BWA",2023,23.381
"República Centroafricana","CAF",2000,5.362
"República Centroafricana","CAF",2010,5.291
"República Centroafricana","CAF",2023,5.877
"Canadá","CAN",2000,6.829
"Canadá","CAN",2010,8.178
"Canadá","CAN",2023,5.415
"Europa Central y del Báltico","CEB",2000,12.1661215560372
"Europa Central y del Báltico","CEB",2010,9.92654756624789
"Europa Central y del Báltico","CEB",2023,4.01405105340076
"Suiza","CHE",2000,2.658
"Suiza","CHE",2010,4.808
"Suiza","CHE",2023,4.043
"Islas del Canal","CHI",2000,5.551
"Islas del Canal","CHI",2010,7.225
"Islas del Canal","CHI",2023,6.187
"Chile","CHL",2000,10.491
